Series ID,Year,Period,Label,Value, City
LAUCT262200000000003,2003,M06,2003 Jun,16.0, Detroit
LAUCT262200000000003,2003,M07,2003 Jul,16.1, Detroit
LAUCT262200000000003,2003,M08,2003 Aug,14.9, Detroit
LAUCT262200000000003,2003,M09,2003 Sep,14.5, Detroit
LAUCT262200000000003,2003,M10,2003 Oct,13.6, Detroit
LAUCT262200000000003,2003,M11,2003 Nov,12.5, Detroit
LAUCT262200000000003,2003,M12,2003 Dec,12.0, Detroit
LAUCT262200000000003,2004,M01,2004 Jan,13.7, Detroit
LAUCT262200000000003,2004,M02,2004 Feb,13.2, Detroit
LAUCT262200000000003,2004,M03,2004 Mar,14.3, Detroit
LAUCT262200000000003,2004,M04,2004 Apr,11.9, Detroit
LAUCT262200000000003,2004,M05,2004 May,13.2, Detroit
LAUCT262200000000003,2004,M06,2004 Jun,15.3, Detroit
LAUCT262200000000003,2004,M07,2004 Jul,16.4, Detroit
LAUCT262200000000003,2004,M08,2004 Aug,14.6, Detroit
LAUCT262200000000003,2004,M09,2004 Sep,14.2, Detroit
LAUCT262200000000003,2004,M10,2004 Oct,14.2, Detroit
LAUCT262200000000003,2004,M11,2004 Nov,14.0, Detroit
LAUCT262200000000003,2004,M12,2004 Dec,13.7, Detroit
LAUCT262200000000003,2005,M01,2005 Jan,14.6, Detroit
LAUCT262200000000003,2005,M02,2005 Feb,14.5, Detroit
LAUCT262200000000003,2005,M03,2005 Mar,14.7, Detroit
LAUCT262200000000003,2005,M04,2005 Apr,13.3, Detroit
LAUCT262200000000003,2005,M05,2005 May,13.0, Detroit
LAUCT262200000000003,2005,M06,2005 Jun,13.9, Detroit
LAUCT262200000000003,2005,M07,2005 Jul,15.1, Detroit
LAUCT262200000000003,2005,M08,2005 Aug,13.5, Detroit
LAUCT262200000000003,2005,M09,2005 Sep,13.0, Detroit
LAUCT262200000000003,2005,M10,2005 Oct,12.3, Detroit
LAUCT262200000000003,2005,M11,2005 Nov,12.4, Detroit
LAUCT262200000000003,2005,M12,2005 Dec,11.9, Detroit
LAUCT262200000000003,2006,M01,2006 Jan,13.4, Detroit
LAUCT262200000000003,2006,M02,2006 Feb,13.5, Detroit
LAUCT262200000000003,2006,M03,2006 Mar,13.4, Detroit
LAUCT262200000000003,2006,M04,2006 Apr,12.3, Detroit
LAUCT262200000000003,2006,M05,2006 May,12.5, Detroit
LAUCT262200000000003,2006,M06,2006 Jun,13.7, Detroit
LAUCT262200000000003,2006,M07,2006 Jul,16.0, Detroit
LAUCT262200000000003,2006,M08,2006 Aug,14.4, Detroit
LAUCT262200000000003,2006,M09,2006 Sep,13.8, Detroit
LAUCT262200000000003,2006,M10,2006 Oct,13.4, Detroit
LAUCT262200000000003,2006,M11,2006 Nov,12.4, Detroit
LAUCT262200000000003,2006,M12,2006 Dec,12.1, Detroit
LAUCT262200000000003,2007,M01,2007 Jan,14.2, Detroit
LAUCT262200000000003,2007,M02,2007 Feb,12.4, Detroit
LAUCT262200000000003,2007,M03,2007 Mar,12.5, Detroit
LAUCT262200000000003,2007,M04,2007 Apr,11.8, Detroit
LAUCT262200000000003,2007,M05,2007 May,12.4, Detroit
LAUCT262200000000003,2007,M06,2007 Jun,14.0, Detroit
LAUCT262200000000003,2007,M07,2007 Jul,15.7, Detroit
LAUCT262200000000003,2007,M08,2007 Aug,14.5, Detroit
